titulo,descripcion,fecha_publicacion,etiquetas,categoria_id,thumbnails,idioma,vistas,likes,dislikes,comentarios,favoritos,duracion,dimension,definicion,caption,proyeccion,estado_upload,estado_privacidad,licencia,embeddable,publicStatsViewable,madeForKids
CAZANDO CARTAS RARAS EN JAPON | Epic Vlog,"Like si nos llevan años de ventaja

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2025-02-15T20:00:11Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'cartas', 'japon', 'nuevo', '2025', 'vlog', 'Linkin Park']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,1461212,178522,0,4239,0,PT16M59S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
primera partida con MI SKIN,"Like por este momento historico

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323

#EpicPartner",2024-09-18T19:52:50Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'skin', 'fortnite', 'nuevo', '2024', 'wilson', 'idols', 'idolos', 'new', 'serie', 'series', 'fornite', 'outfit', 'gato', 'victoria', 'win']",20,"['default', 'medium', 'high', 'standard', 'maxres']",es,5224076,382894,0,7366,0,PT14M26S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
PRESENTANDO MI SKIN DE FORTNITE!,"Like si Wilson es la mejor mochila de la historia

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323

#EpicPartner",2024-09-16T19:08:10Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'skin', 'fortnite', 'nuevo', '2024', 'wilson', 'idols', 'idolos', 'new']",20,"['default', 'medium', 'high', 'standard', 'maxres']",es,2459959,265848,0,7639,0,PT16M13S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
Alquilé un CINE para Jugar Videojuegos,"Like si fue mala idea jugar a FNAF en el cine

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323

#EpicPartner",2024-08-10T19:31:34Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'cine', 'fnaf', 'five nights at freddys', 'reto', 'fortnite', 'challenge', 'will smith', 'cyberpunk', 'minecraft', 'cinema', 'victory royale']",20,"['default', 'medium', 'high', 'standard', 'maxres']",es,5445847,446057,0,8436,0,PT16M46S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
EL MAYOR RETO DE MI VIDA,"Like por mis patas

Efectos especiales by Niko_o_: https://www.youtube.com/channel/UCCglLE6QQt1Lsn03diIE2kQ https://www.instagram.com/niko_o_ok/

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323

#EpicPartner",2024-08-03T19:01:29Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'juego', 'videojuegos', 'games', 'fortnite', 'reto', 'retos', 'leyenda', 'leyenda del gaming', 'llama', 'corto', 'terror', 'fx', 'vfx', 'efectos especiales', 'cine', 'nuevo', '2024', 'icon', 'banana', 'mejor', 'video', 'top', 'sorteo']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,2484384,275381,0,8711,0,PT5M28S,2d,hd,true,rectangular,processed,public,youtube,True,True,False
Así TRAICIONÉ a TODOS en el Reto de MrBeast,"Like por el momento mas Among Us de mi vida

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2024-07-25T18:00:33Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'mr beast', 'money', 'dinero', 'premio', 'game', 'youtuber', 'youtubers', 'kai cenat', 'ksi', 'ishowspeed', 'quackity', 'nuevo', 'new', '2024', 'biggest', 'avión', 'jet', 'logan paul', 'maletin', 'escena eliminada', 'clip', 'maletines']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,3643415,269839,0,5862,0,PT8M23S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
Sobreviví 48 Horas en el Reto de MrBeast | Epic Vlog,"Like por la almohada de billetes de spreen

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2024-07-15T19:00:38Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'mr beast', 'money', 'dinero', '1.000.000 $', 'price', 'premio', 'game', 'youtuber', 'youtubers', 'kai cenat', 'ksi', 'ishowspeed', 'quackity', 'spreen', 'ibai', 'nuevo', 'new', '2024', 'biggest', 'avión', 'jet', 'logan paul']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,7175197,573721,0,7749,0,PT19M28S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
MI NUEVA CASA con Will Smith,"Like por su cojin
FORMULARIO PARA CONCURSO: https://www.sonypictures.es/microsite/sorteo-bad-boys-y-rubius

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2024-05-30T19:22:13Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'vlog', 'epic vlog', 'casa', 'mi nueva casa', 'unboxing', 'will smith', 'will', 'mangel', 'nuevo', '2024', 'youtube']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,3908634,456869,0,10003,0,PT7M24S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
Pasé 24 Horas en Realidad Virtual (Apple Vision Pro),"LIke o te vendra mi avatar a las 3am

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2024-02-08T21:16:50Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'apple', 'apple vision', 'vr', 'realidad virtual', 'real', 'calle', 'vlog', 'epic vlog', 'apple vision pro', '2024', 'nuevo', 'review', 'gatos']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,7481193,577626,0,8363,0,PT21M,2d,hd,false,rectangular,processed,public,youtube,True,True,False
VISITANDO EL SUPER NINTENDO WORLD DE JAPON | Epic Vlog,"Like por el niño que ayude (la madre estaba agradecida)

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2023-02-12T17:03:06Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'super nintendo world', 'super mario', 'mario', 'parque', 'parque de atracciones', 'universal', 'japon', 'japan', 'nuevo', '2023', 'epic vlog', 'vlog']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,4862530,474339,0,10447,0,PT16M35S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
